Model status
Optimal

# Primal solution values
Feasible
Objective 16
# Columns 1323
x0 0
x1 0
x2 0
x3 0
x4 0
x5 0
x6 0
x7 0
x8 0
x9 0
x10 0
x11 0
x12 0
x13 0
x14 0
x15 0
x16 0
x17 0
x18 0
x19 0
x20 0
x21 0
x22 0
x23 0
x24 0
x25 0
x26 0
x27 0
x28 0
x29 0
x30 0
x31 0
x32 0
x33 0
x34 0
x35 0
x36 0
x37 0
x38 0
x39 0
x40 0
x41 0
x42 0
x43 0
x44 0
x45 0
x46 0
x47 0
x48 0
x49 0
x50 0
x51 0
x52 0
x53 0
x54 0
x55 0
x56 0
x57 0
x58 0
x59 0
x60 0
x61 0
x62 0
x63 0
x64 0
x65 0
x66 0
x67 0
x68 0
x69 0
x70 0
x71 0
x72 0
x73 0
x74 0
x75 0
x76 0
x77 0
x78 1
x79 0
x80 0
x81 0
x82 0
x83 0
x84 0
x85 0
x86 0
x87 0
x88 0
x89 0
x90 0
x91 0
x92 0
x93 0
x94 0
x95 0
x96 0
x97 0
x98 0
x99 0
x100 0
x101 0
x102 0
x103 0
x104 0
x105 0
x106 0
x107 0
x108 0
x109 0
x110 0
x111 0
x112 0
x113 0
x114 0
x115 0
x116 0
x117 0
x118 0
x119 0
x120 0
x121 0
x122 0
x123 0
x124 0
x125 0
x126 0
x127 0
x128 0
x129 0
x130 0
x131 0
x132 0
x133 0
x134 0
x135 0
x136 0
x137 0
x138 0
x139 0
x140 0
x141 0
x142 0
x143 0
x144 0
x145 0
x146 0
x147 0
x148 0
x149 0
x150 0
x151 0
x152 0
x153 0
x154 0
x155 0
x156 0
x157 0
x158 0
x159 0
x160 0
x161 0
x162 0
x163 0
x164 0
x165 0
x166 0
x167 0
x168 0
x169 0
x170 0
x171 0
x172 0
x173 0
x174 0
x175 0
x176 0
x177 0
x178 0
x179 0
x180 0
x181 0
x182 0
x183 0
x184 0
x185 0
x186 0
x187 0
x188 0
x189 0
x190 0
x191 0
x192 0
x193 0
x194 0
x195 0
x196 0
x197 0
x198 0
x199 0
x200 0
x201 0
x202 0
x203 0
x204 0
x205 0
x206 0
x207 0
x208 0
x209 0
x210 0
x211 0
x212 0
x213 0
x214 0
x215 0
x216 0
x217 0
x218 0
x219 0
x220 0
x221 0
x222 0
x223 0
x224 0
x225 0
x226 0
x227 0
x228 0
x229 0
x230 0
x231 0
x232 0
x233 0
x234 0
x235 0
x236 0
x237 0
x238 0
x239 0
x240 0
x241 0
x242 0
x243 0
x244 0
x245 0
x246 0
x247 0
x248 0
x249 0
x250 0
x251 0
x252 0
x253 0
x254 0
x255 0
x256 0
x257 0
x258 0
x259 0
x260 0
x261 0
x262 0
x263 0
x264 0
x265 0
x266 0
x267 0
x268 0
x269 0
x270 0
x271 0
x272 0
x273 0
x274 0
x275 0
x276 0
x277 0
x278 0
x279 0
x280 0
x281 0
x282 0
x283 0
x284 0
x285 0
x286 0
x287 0
x288 0
x289 0
x290 0
x291 0
x292 0
x293 0
x294 0
x295 0
x296 0
x297 0
x298 0
x299 0
x300 0
x301 0
x302 0
x303 0
x304 0
x305 0
x306 0
x307 0
x308 0
x309 0
x310 0
x311 0
x312 0
