N	q	m_star	sign_certificate	a*m_star	gap_from_pi2_over_4
1	1/3	3	negative	3.95087369077445	+1.48347259050211
2	2/5	3	negative	2.88727095035762	+0.419869850085282
3	3/7	4	negative	3.18146184489562	+0.714060744623283
4	4/9	4	negative	2.77258872223978	+0.305187621967442
5	5/11	5	negative	3.11181251857389	+0.644411418301554
10	10/21	6	negative	2.66140952631069	+0.194008426038352
20	20/41	8	negative	2.51939805283078	+0.0519969525584445
50	50/101	13	negative	2.5956860513794	+0.128284951107058
100	100/201	18	negative	2.54346785074168	+0.0760667504693364
200	200/401	25	negative	2.49895950346741	+0.0315584031950671
500	500/1001	40	negative	2.52940068073715	+0.061999580464807
1000	1000/2001	56	negative	2.50418748206518	+0.0367863817928438
2000	2000/4001	79	negative	2.4980952716018	+0.0306941713294622
5000	5000/10001	124	negative	2.47995866852642	+0.0125575682540799
10000	10000/20001	175	negative	2.47485311066902	+0.00745201039668109
20000	20000/40001	247	negative	2.46998970845172	+0.00258860817937911
50000	50000/100001	391	negative	2.47289700876271	+0.00549590849036896
100000	100000/200001	552	negative	2.46861698998994	+0.00121588971760378
