index	cell
0	a x [a,c] x [a,c]
1	a x [a,c] x [a,d]
2	a x [a,c] x [b,c]
3	a x [a,c] x [b,d]
4	a x [a,c] x [c,d]
5	a x [a,d] x [a,c]
6	a x [a,d] x [a,d]
7	a x [a,d] x [b,c]
8	a x [a,d] x [b,d]
9	a x [a,d] x [c,d]
10	a x [b,c] x [a,c]
11	a x [b,c] x [a,d]
12	a x [b,c] x [b,c]
13	a x [b,c] x [b,d]
14	a x [b,c] x [c,d]
15	a x [b,d] x [a,c]
16	a x [b,d] x [a,d]
17	a x [b,d] x [b,c]
18	a x [b,d] x [b,d]
19	a x [b,d] x [c,d]
20	a x [c,d] x [a,c]
21	a x [c,d] x [a,d]
22	a x [c,d] x [b,c]
23	a x [c,d] x [b,d]
24	a x [c,d] x [c,d]
25	[a,c] x a x [a,c]
26	[a,c] x a x [a,d]
27	[a,c] x a x [b,c]
28	[a,c] x a x [b,d]
29	[a,c] x a x [c,d]
30	[a,c] x [a,c] x a
31	[a,c] x [a,d] x a
32	[a,c] x [b,c] x a
33	[a,c] x [b,d] x a
34	[a,c] x [c,d] x a
35	[a,d] x a x [a,c]
36	[a,d] x a x [a,d]
37	[a,d] x a x [b,c]
38	[a,d] x a x [b,d]
39	[a,d] x a x [c,d]
40	[a,d] x [a,c] x a
41	[a,d] x [a,d] x a
42	[a,d] x [b,c] x a
43	[a,d] x [b,d] x a
44	[a,d] x [c,d] x a
45	[b,c] x a x [a,c]
46	[b,c] x a x [a,d]
47	[b,c] x a x [b,c]
48	[b,c] x a x [b,d]
49	[b,c] x a x [c,d]
50	[b,c] x [a,c] x a
51	[b,c] x [a,d] x a
52	[b,c] x [b,c] x a
53	[b,c] x [b,d] x a
54	[b,c] x [c,d] x a
55	[b,d] x a x [a,c]
56	[b,d] x a x [a,d]
57	[b,d] x a x [b,c]
58	[b,d] x a x [b,d]
59	[b,d] x a x [c,d]
60	[b,d] x [a,c] x a
61	[b,d] x [a,d] x a
62	[b,d] x [b,c] x a
63	[b,d] x [b,d] x a
64	[b,d] x [c,d] x a
65	[c,d] x a x [a,c]
66	[c,d] x a x [a,d]
67	[c,d] x a x [b,c]
68	[c,d] x a x [b,d]
69	[c,d] x a x [c,d]
70	[c,d] x [a,c] x a
71	[c,d] x [a,d] x a
72	[c,d] x [b,c] x a
73	[c,d] x [b,d] x a
74	[c,d] x [c,d] x a
