index	cell
0	c x [a,c] x [a,c]
1	c x [a,c] x [a,d]
2	c x [a,c] x [b,c]
3	c x [a,c] x [b,d]
4	c x [a,c] x [c,d]
5	c x [a,d] x [a,c]
6	c x [a,d] x [a,d]
7	c x [a,d] x [b,c]
8	c x [a,d] x [b,d]
9	c x [a,d] x [c,d]
10	c x [b,c] x [a,c]
11	c x [b,c] x [a,d]
12	c x [b,c] x [b,c]
13	c x [b,c] x [b,d]
14	c x [b,c] x [c,d]
15	c x [b,d] x [a,c]
16	c x [b,d] x [a,d]
17	c x [b,d] x [b,c]
18	c x [b,d] x [b,d]
19	c x [b,d] x [c,d]
20	c x [c,d] x [a,c]
21	c x [c,d] x [a,d]
22	c x [c,d] x [b,c]
23	c x [c,d] x [b,d]
24	c x [c,d] x [c,d]
25	[a,c] x c x [a,c]
26	[a,c] x c x [a,d]
27	[a,c] x c x [b,c]
28	[a,c] x c x [b,d]
29	[a,c] x c x [c,d]
30	[a,c] x [a,c] x c
31	[a,c] x [a,d] x c
32	[a,c] x [b,c] x c
33	[a,c] x [b,d] x c
34	[a,c] x [c,d] x c
35	[a,d] x c x [a,c]
36	[a,d] x c x [a,d]
37	[a,d] x c x [b,c]
38	[a,d] x c x [b,d]
39	[a,d] x c x [c,d]
40	[a,d] x [a,c] x c
41	[a,d] x [a,d] x c
42	[a,d] x [b,c] x c
43	[a,d] x [b,d] x c
44	[a,d] x [c,d] x c
45	[b,c] x c x [a,c]
46	[b,c] x c x [a,d]
47	[b,c] x c x [b,c]
48	[b,c] x c x [b,d]
49	[b,c] x c x [c,d]
50	[b,c] x [a,c] x c
51	[b,c] x [a,d] x c
52	[b,c] x [b,c] x c
53	[b,c] x [b,d] x c
54	[b,c] x [c,d] x c
55	[b,d] x c x [a,c]
56	[b,d] x c x [a,d]
57	[b,d] x c x [b,c]
58	[b,d] x c x [b,d]
59	[b,d] x c x [c,d]
60	[b,d] x [a,c] x c
61	[b,d] x [a,d] x c
62	[b,d] x [b,c] x c
63	[b,d] x [b,d] x c
64	[b,d] x [c,d] x c
65	[c,d] x c x [a,c]
66	[c,d] x c x [a,d]
67	[c,d] x c x [b,c]
68	[c,d] x c x [b,d]
69	[c,d] x c x [c,d]
70	[c,d] x [a,c] x c
71	[c,d] x [a,d] x c
72	[c,d] x [b,c] x c
73	[c,d] x [b,d] x c
74	[c,d] x [c,d] x c
